finca_id,abandon_score,activity_status,median_ndvi,std_deviation,cv_percent,valid_periods
finca_00148,85.0,inactive,0.16344142807098977,0.0774810732116654,47.4,11
finca_00149,85.0,inactive,0.16929676370532531,0.04673003163249802,27.6,11
finca_00150,85.0,inactive,0.244600516654864,0.03068821822094993,12.5,11
finca_00151,85.0,inactive,0.27704866407263873,0.05764241333086987,20.8,12
finca_00152,85.0,inactive,0.2507624891026782,0.037304601072398844,14.9,12
finca_00153,85.0,inactive,0.20190778760986036,0.1052468322787791,52.1,12
finca_00154,85.0,inactive,0.20882530779625882,0.04008422140224213,19.2,11
finca_00155,85.0,inactive,0.1807219979348955,0.05211015528316689,28.8,11
finca_00156,85.0,inactive,0.19495052353582887,0.06056149328338652,31.1,13
finca_00157,85.0,inactive,0.16854517166061764,0.03786700002554463,22.5,11
finca_00158,85.0,inactive,0.2869997524334255,0.07376037645271892,25.7,11
finca_00159,110.2,potential,0.30229733956134813,0.03960302091091737,13.1,10
finca_00160,108.1,potential,0.3019347817553143,0.043882946474426344,14.5,10
finca_00161,109.0,potential,0.30458216826835965,0.04198754629807178,13.8,10
finca_00162,105.3,potential,0.30991024653477156,0.06936275360175166,22.4,12
finca_00163,85.0,inactive,0.1697644761874115,0.04983899233707112,29.4,12
finca_00164,85.0,inactive,0.15164087277001176,0.056841636002437454,37.5,12
finca_00165,85.0,inactive,0.22981343376900568,0.031416623627837315,13.7,13
